Date,Product Name,Link,CurrentPrice,TargetPrice,ECOM site
2021-05-31,Fire TV Cube | Hands-free streaming device with Alexa | 4K Ultra HD | 2021 release,https://www.amazon.in/dp/B083VWSQJC?ref_=nav_em_nav-pc-firetvcube_0_2_3_5#,12999,11000,Amazon
2021-05-31,"ASUS TUF Gaming A17 Ryzen 5 Hexa Core 4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650) FA706IH-AU016T Gaming Laptop  (17.3 inch, Gray Metal, 2.6 kg)",https://www.flipkart.com/asus-tuf-gaming-a17-ryzen-5-hexa-core-4600h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-fa706ih-au016t-laptop/p/itm6c51cc353a7ad,63990,63000,Flipkart
2021-05-31,NIVEA Body Milk Nourishing Body Lotion 400ml & 120 ml - Pack of 2  (520 ml),https://www.flipkart.com/nivea-body-milk-nourishing-lotion-400ml-120-ml-pack-2/p/itmf6y86zahhzntz?pid=MSCF6Y86XFKRFZDG&lid=LSTMSCF6Y86XFKRFZDGPC0UYW&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_7&otracker=browse&fm=organic&iid=41a857ae-c8d7-4b6b-92bb-0bb5d2bfb711.MSCF6Y86XFKRFZDG.SEARCH&ppt=browse&ppn=browse&ssid=8om4pr46ao0000001622465205659,398,350,Flipkart
2021-05-31,MamaEarth Ubtan Natural  for Dry Skin with Turmeric & Saffron for Tan removal and Skin brightning 100 ml - SLS & Paraben Free Face Wash  (100 ml),https://www.flipkart.com/mamaearth-ubtan-natural-dry-skin-turmeric-saffron-tan-removal-brightning-100-ml-sls-paraben-free-face-wash/p/itmf7ef6zn9ryfhv?pid=FCWF7DWRBPHJGDZH&lid=LSTFCWF7DWRBPHJGDZHEU4YYL&marketplace=FLIPKART&store=g9b%2Fema%2F5la&srno=b_1_10&otracker=browse&fm=organic&iid=41a857ae-c8d7-4b6b-92bb-0bb5d2bfb711.FCWF7DWRBPHJGDZH.SEARCH&ppt=browse&ppn=browse&ssid=8om4pr46ao0000001622465205659,236,500,Flipkart
